tp_codigo,codigo,nome_ciap,fonte,versao_fonte,status_fonte,data_fonte
CIAP,D93,Síndrome do cólon irritável,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D94,Enterite crónica/colite ulcerosa,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D95,Fissura anal / abcesso perianal,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D96,Lombrigas /outros parasitas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D97,Doenças do fígado /NE,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D98,"Colecistite, colelitiase",http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,D99,Outra doença do aparelho digestivo,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F01,Dor no olho,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F02,Olho vermelho,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F03,Secreção ocular,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F04,Moscas volantes/pontos luminosos/escotomas/ manchas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F05,Outras perturbações visuais,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F13,Sensações oculares anormais,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F14,Movimentos oculares anormais,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F15,Aparência anormal nos olhos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F16,Sinais/sintomas das pálpebras,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F17,Sinais/sintomas relacionados a óculos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F18,Sinais/sintomas relacionados a lentes de contato,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F27,Medo de doença ocular,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F28,Limitação funcional/incapacidade,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F29,Outros sinais/sintomas oculares,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F70,Conjuntivite infecciosa,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F71,Conjuntivite alérgica,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F72,Blefarite/hordéolo/calázio,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F73,Outras infecções/inflamações oculares,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F74,Neoplasia do olho/anexos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F75,Contusão/hemorragia ocular,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F76,Corpo estranho ocular,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F79,Outras lesões traumáticas oculares,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F80,Obstrução canal lacrimal da criança,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F81,Outras malformações congênitas do olho,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F82,Descolamento da retina,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F83,Retinopatia,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F84,Degeneração macular,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F85,Ulcera da córnea,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F86,Tracoma,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F91,Erro de refração,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F92,Catarata,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F93,Glaucoma,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F94,Cegueira,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F95,Estrabismo,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,F99,Outra doenças oculares/anexos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H01,Dor de ouvidos,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H02,Problemas de audição,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H03,"Acufeno, zumbidos, ruído, assobios",http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H04,Secreção no ouvido,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H05,Hemorragia no ouvido,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H13,Sensação de ouvido tapado,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H15,Preocupação com a aparência das orelhas,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H27,Medo de doença do ouvido,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H28,Limitação funcional/incapacidade,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H29,Outros sinais/sintomas ouvido,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H70,Otite externa,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H71,Otite media aguda/miringite,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H72,Otite média serosa,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H73,Infecção da Trompa de Eustáquio,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H74,Otite media crónica,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H75,Neoplasia do ouvido,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
CIAP,H76,Corpo estranho do ouvido,http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.3,draft,2020-03-11
